Object;Time;Content
Fila;6/2/2021 8:00;1
Fila;6/2/2021 8:00;0
Fila;6/2/2021 8:00;1
Fila;6/2/2021 8:00;0
Fila;6/2/2021 8:00;1
Fila;6/2/2021 8:00;2
Fila;6/2/2021 8:00;3
Fila;6/2/2021 8:00;2
Fila;6/2/2021 8:00;1
Fila;6/2/2021 8:01;2
Fila;6/2/2021 8:01;1
Fila;6/2/2021 8:01;0
Fila;6/2/2021 8:02;1
Fila;6/2/2021 8:02;2
Fila;6/2/2021 8:02;1
Fila;6/2/2021 8:02;0
Fila;6/2/2021 8:03;1
Fila;6/2/2021 8:03;0
Fila;6/2/2021 8:03;1
Fila;6/2/2021 8:03;2
Fila;6/2/2021 8:03;3
Fila;6/2/2021 8:03;2
Fila;6/2/2021 8:03;1
Fila;6/2/2021 8:04;2
Fila;6/2/2021 8:04;3
Fila;6/2/2021 8:05;2
Fila;6/2/2021 8:05;1
Fila;6/2/2021 8:05;0
Fila;6/2/2021 8:06;1
Fila;6/2/2021 8:06;2
Fila;6/2/2021 8:06;3
Fila;6/2/2021 8:06;4
Fila;6/2/2021 8:06;5
Fila;6/2/2021 8:06;6
Fila;6/2/2021 8:06;5
Fila;6/2/2021 8:06;4
Fila;6/2/2021 8:06;3
Fila;6/2/2021 8:06;2
Fila;6/2/2021 8:07;3
Fila;6/2/2021 8:07;2
Fila;6/2/2021 8:07;1
Fila;6/2/2021 8:07;0
Fila;6/2/2021 8:08;1
Fila;6/2/2021 8:08;0
Fila;6/2/2021 8:08;1
Fila;6/2/2021 8:08;2
Fila;6/2/2021 8:08;1
Fila;6/2/2021 8:08;0
Fila;6/2/2021 8:10;1
Fila;6/2/2021 8:10;0
Fila;6/2/2021 8:11;1
Fila;6/2/2021 8:11;0
Fila;6/2/2021 8:11;1
Fila;6/2/2021 8:11;0
Fila;6/2/2021 8:11;1
Fila;6/2/2021 8:11;0
Fila;6/2/2021 8:12;1
Fila;6/2/2021 8:12;0
Fila;6/2/2021 8:12;1
Fila;6/2/2021 8:12;0
Fila;6/2/2021 8:13;1
Fila;6/2/2021 8:13;0
Fila;6/2/2021 8:14;1
Fila;6/2/2021 8:14;0
Fila;6/2/2021 8:14;1
Fila;6/2/2021 8:14;0
Fila;6/2/2021 8:15;1
Fila;6/2/2021 8:15;0
Fila;6/2/2021 8:15;1
Fila;6/2/2021 8:15;0
Fila;6/2/2021 8:17;1
Fila;6/2/2021 8:17;0
Fila;6/2/2021 8:18;1
Fila;6/2/2021 8:18;0
Fila;6/2/2021 8:18;1
Fila;6/2/2021 8:18;2
Fila;6/2/2021 8:18;1
Fila;6/2/2021 8:18;0
Fila;6/2/2021 8:19;1
Fila;6/2/2021 8:19;2
Fila;6/2/2021 8:19;1
Fila;6/2/2021 8:19;0
Fila;6/2/2021 8:20;1
Fila;6/2/2021 8:20;0
Fila;6/2/2021 8:20;1
Fila;6/2/2021 8:20;2
Fila;6/2/2021 8:20;1
Fila;6/2/2021 8:20;0
Fila;6/2/2021 8:21;1
Fila;6/2/2021 8:21;0
Fila;6/2/2021 8:22;1
Fila;6/2/2021 8:22;0
Fila;6/2/2021 8:22;1
Fila;6/2/2021 8:22;0
Fila;6/2/2021 8:23;1
Fila;6/2/2021 8:23;0
Fila;6/2/2021 8:24;1
Fila;6/2/2021 8:24;0
Fila;6/2/2021 8:24;1
Fila;6/2/2021 8:24;0
Fila;6/2/2021 8:25;1
Fila;6/2/2021 8:25;0
Fila;6/2/2021 8:25;1
Fila;6/2/2021 8:25;0
Fila;6/2/2021 8:26;1
Fila;6/2/2021 8:26;2
Fila;6/2/2021 8:26;3
Fila;6/2/2021 8:26;2
Fila;6/2/2021 8:27;3
Fila;6/2/2021 8:27;4
Fila;6/2/2021 8:27;5
Fila;6/2/2021 8:27;6
Fila;6/2/2021 8:27;5
Fila;6/2/2021 8:27;4
Fila;6/2/2021 8:27;3
Fila;6/2/2021 8:28;2
Fila;6/2/2021 8:29;3
Fila;6/2/2021 8:29;2
Fila;6/2/2021 8:30;3
Fila;6/2/2021 8:30;4
Fila;6/2/2021 8:30;3
Fila;6/2/2021 8:30;2
Fila;6/2/2021 8:31;3
Fila;6/2/2021 8:31;4
Fila;6/2/2021 8:32;5
Fila;6/2/2021 8:32;4
Fila;6/2/2021 8:33;5
Fila;6/2/2021 8:33;6
Fila;6/2/2021 8:33;7
Fila;6/2/2021 8:33;8
Fila;6/2/2021 8:33;9
Fila;6/2/2021 8:33;10
Fila;6/2/2021 8:33;11
Fila;6/2/2021 8:33;10
Fila;6/2/2021 8:34;11
Fila;6/2/2021 8:34;10
Fila;6/2/2021 8:34;9
Fila;6/2/2021 8:34;8
Fila;6/2/2021 8:34;7
Fila;6/2/2021 8:34;6
Fila;6/2/2021 8:35;5
Fila;6/2/2021 8:35;4
Fila;6/2/2021 8:36;5
Fila;6/2/2021 8:36;6
Fila;6/2/2021 8:36;5
Fila;6/2/2021 8:36;4
Fila;6/2/2021 8:36;3
Fila;6/2/2021 8:36;2
Fila;6/2/2021 8:36;1
Fila;6/2/2021 8:36;0
Fila;6/2/2021 8:37;1
Fila;6/2/2021 8:37;2
Fila;6/2/2021 8:37;3
Fila;6/2/2021 8:37;2
Fila;6/2/2021 8:38;1
Fila;6/2/2021 8:39;2
Fila;6/2/2021 8:39;1
Fila;6/2/2021 8:39;0
Fila;6/2/2021 8:40;1
Fila;6/2/2021 8:40;2
Fila;6/2/2021 8:40;3
Fila;6/2/2021 8:40;4
Fila;6/2/2021 8:40;5
Fila;6/2/2021 8:40;6
Fila;6/2/2021 8:40;7
Fila;6/2/2021 8:40;8
Fila;6/2/2021 8:40;9
Fila;6/2/2021 8:40;8
Fila;6/2/2021 8:41;9
Fila;6/2/2021 8:41;10
Fila;6/2/2021 8:42;11
Fila;6/2/2021 8:42;10
Fila;6/2/2021 8:43;11
Fila;6/2/2021 8:43;12
Fila;6/2/2021 8:43;11
Fila;6/2/2021 8:43;10
Fila;6/2/2021 8:44;11
Fila;6/2/2021 8:44;12
Fila;6/2/2021 8:45;11
Fila;6/2/2021 8:45;10
Fila;6/2/2021 8:45;9
Fila;6/2/2021 8:46;10
Fila;6/2/2021 8:46;9
Fila;6/2/2021 8:47;10
Fila;6/2/2021 8:47;9
Fila;6/2/2021 8:47;8
Fila;6/2/2021 8:48;9
Fila;6/2/2021 8:48;8
Fila;6/2/2021 8:48;7
Fila;6/2/2021 8:49;6
Fila;6/2/2021 8:49;5
Fila;6/2/2021 8:49;4
Fila;6/2/2021 8:49;3
Fila;6/2/2021 8:49;2
Fila;6/2/2021 8:50;3
Fila;6/2/2021 8:50;4
Fila;6/2/2021 8:50;3
Fila;6/2/2021 8:50;2
Fila;6/2/2021 8:50;1
Fila;6/2/2021 8:50;0
Fila;6/2/2021 8:54;1
Fila;6/2/2021 8:54;0
Fila;6/2/2021 8:54;1
Fila;6/2/2021 8:54;0
Fila;6/2/2021 8:56;1
Fila;6/2/2021 8:56;0
Fila;6/2/2021 8:56;1
Fila;6/2/2021 8:56;2
Fila;6/2/2021 8:56;3
Fila;6/2/2021 8:56;2
Fila;6/2/2021 8:56;1
Fila;6/2/2021 8:57;0
Fila;6/2/2021 8:59;1
Fila;6/2/2021 8:59;0
Fila;6/2/2021 8:59;1
Fila;6/2/2021 8:59;0
Fila;6/2/2021 8:59;1
Fila;6/2/2021 8:59;0
Fila;6/2/2021 9:01;1
Fila;6/2/2021 9:01;0
Fila;6/2/2021 9:02;1
Fila;6/2/2021 9:02;0
Fila;6/2/2021 9:03;1
Fila;6/2/2021 9:03;0
Fila;6/2/2021 9:04;1
Fila;6/2/2021 9:04;0
Fila;6/2/2021 9:04;1
Fila;6/2/2021 9:04;0
Fila;6/2/2021 9:05;1
Fila;6/2/2021 9:05;0
Fila;6/2/2021 9:05;1
Fila;6/2/2021 9:05;2
Fila;6/2/2021 9:05;1
Fila;6/2/2021 9:06;0
Fila;6/2/2021 9:07;1
Fila;6/2/2021 9:07;0
Fila;6/2/2021 9:07;1
Fila;6/2/2021 9:07;2
Fila;6/2/2021 9:07;3
Fila;6/2/2021 9:07;4
Fila;6/2/2021 9:08;3
Fila;6/2/2021 9:09;4
Fila;6/2/2021 9:09;3
Fila;6/2/2021 9:09;2
Fila;6/2/2021 9:10;1
Fila;6/2/2021 9:10;0
Fila;6/2/2021 9:11;1
Fila;6/2/2021 9:11;0
Fila;6/2/2021 9:11;1
Fila;6/2/2021 9:11;2
Fila;6/2/2021 9:11;3
Fila;6/2/2021 9:11;4
Fila;6/2/2021 9:11;3
Fila;6/2/2021 9:11;2
Fila;6/2/2021 9:12;3
Fila;6/2/2021 9:13;4
Fila;6/2/2021 9:13;3
Fila;6/2/2021 9:14;4
Fila;6/2/2021 9:14;5
Fila;6/2/2021 9:14;6
Fila;6/2/2021 9:14;7
Fila;6/2/2021 9:14;8
Fila;6/2/2021 9:14;9
Fila;6/2/2021 9:14;10
Fila;6/2/2021 9:15;11
Fila;6/2/2021 9:15;12
Fila;6/2/2021 9:15;13
Fila;6/2/2021 9:15;14
Fila;6/2/2021 9:15;13
Fila;6/2/2021 9:15;12
Fila;6/2/2021 9:16;13
Fila;6/2/2021 9:16;14
Fila;6/2/2021 9:16;15
Fila;6/2/2021 9:17;16
Fila;6/2/2021 9:17;15
Fila;6/2/2021 9:17;14
Fila;6/2/2021 9:18;15
Fila;6/2/2021 9:18;16
Fila;6/2/2021 9:18;15
Fila;6/2/2021 9:18;14
Fila;6/2/2021 9:18;13
Fila;6/2/2021 9:18;12
Fila;6/2/2021 9:18;11
Fila;6/2/2021 9:19;12
Fila;6/2/2021 9:19;11
Fila;6/2/2021 9:19;10
Fila;6/2/2021 9:19;9
Fila;6/2/2021 9:20;10
Fila;6/2/2021 9:20;9
Fila;6/2/2021 9:20;8
Fila;6/2/2021 9:20;7
Fila;6/2/2021 9:21;8
Fila;6/2/2021 9:21;9
Fila;6/2/2021 9:21;10
Fila;6/2/2021 9:21;11
Fila;6/2/2021 9:21;12
Fila;6/2/2021 9:21;13
Fila;6/2/2021 9:21;12
Fila;6/2/2021 9:21;11
Fila;6/2/2021 9:21;10
Fila;6/2/2021 9:22;11
Fila;6/2/2021 9:22;12
Fila;6/2/2021 9:22;11
Fila;6/2/2021 9:22;10
Fila;6/2/2021 9:22;9
Fila;6/2/2021 9:22;8
Fila;6/2/2021 9:22;7
Fila;6/2/2021 9:23;6
Fila;6/2/2021 9:24;7
Fila;6/2/2021 9:24;8
Fila;6/2/2021 9:24;9
Fila;6/2/2021 9:24;10
Fila;6/2/2021 9:24;11
Fila;6/2/2021 9:24;12
Fila;6/2/2021 9:24;13
Fila;6/2/2021 9:24;14
Fila;6/2/2021 9:24;15
Fila;6/2/2021 9:24;16
Fila;6/2/2021 9:24;17
Fila;6/2/2021 9:24;16
Fila;6/2/2021 9:24;15
Fila;6/2/2021 9:24;14
Fila;6/2/2021 9:25;15
Fila;6/2/2021 9:25;16
Fila;6/2/2021 9:26;15
Fila;6/2/2021 9:26;14
Fila;6/2/2021 9:27;15
Fila;6/2/2021 9:27;16
Fila;6/2/2021 9:27;17
Fila;6/2/2021 9:27;16
Fila;6/2/2021 9:27;15
Fila;6/2/2021 9:28;14
Fila;6/2/2021 9:29;15
Fila;6/2/2021 9:29;16
Fila;6/2/2021 9:29;17
Fila;6/2/2021 9:29;16
Fila;6/2/2021 9:30;17
Fila;6/2/2021 9:30;18
Fila;6/2/2021 9:30;19
Fila;6/2/2021 9:30;18
Fila;6/2/2021 9:30;17
Fila;6/2/2021 9:30;16
Fila;6/2/2021 9:31;17
Fila;6/2/2021 9:31;16
Fila;6/2/2021 9:31;15
Fila;6/2/2021 9:31;14
Fila;6/2/2021 9:32;13
Fila;6/2/2021 9:32;12
Fila;6/2/2021 9:33;13
Fila;6/2/2021 9:33;12
Fila;6/2/2021 9:34;13
Fila;6/2/2021 9:34;14
Fila;6/2/2021 9:34;15
Fila;6/2/2021 9:34;16
Fila;6/2/2021 9:34;17
Fila;6/2/2021 9:34;18
Fila;6/2/2021 9:34;19
Fila;6/2/2021 9:34;18
Fila;6/2/2021 9:34;17
Fila;6/2/2021 9:34;16
Fila;6/2/2021 9:35;15
Fila;6/2/2021 9:36;16
Fila;6/2/2021 9:37;15
Fila;6/2/2021 9:37;14
Fila;6/2/2021 9:37;13
Fila;6/2/2021 9:37;12
Fila;6/2/2021 9:37;11
Fila;6/2/2021 9:37;10
Fila;6/2/2021 9:38;11
Fila;6/2/2021 9:38;12
Fila;6/2/2021 9:38;11
Fila;6/2/2021 9:38;10
Fila;6/2/2021 9:39;9
Fila;6/2/2021 9:39;8
Fila;6/2/2021 9:39;7
Fila;6/2/2021 9:39;6
Fila;6/2/2021 9:39;5
Fila;6/2/2021 9:40;6
Fila;6/2/2021 9:40;7
Fila;6/2/2021 9:40;6
Fila;6/2/2021 9:41;7
Fila;6/2/2021 9:41;8
Fila;6/2/2021 9:41;9
Fila;6/2/2021 9:41;10
Fila;6/2/2021 9:41;9
Fila;6/2/2021 9:41;8
Fila;6/2/2021 9:41;7
Fila;6/2/2021 9:42;6
Fila;6/2/2021 9:43;7
Fila;6/2/2021 9:43;6
Fila;6/2/2021 9:43;5
Fila;6/2/2021 9:43;4
Fila;6/2/2021 9:43;3
Fila;6/2/2021 9:44;2
Fila;6/2/2021 9:44;1
Fila;6/2/2021 9:44;0
Fila;6/2/2021 9:45;1
Fila;6/2/2021 9:45;2
Fila;6/2/2021 9:45;1
Fila;6/2/2021 9:46;2
Fila;6/2/2021 9:46;3
Fila;6/2/2021 9:46;4
Fila;6/2/2021 9:46;3
Fila;6/2/2021 9:46;2
Fila;6/2/2021 9:47;3
Fila;6/2/2021 9:47;4
Fila;6/2/2021 9:47;3
Fila;6/2/2021 9:47;2
Fila;6/2/2021 9:48;3
Fila;6/2/2021 9:48;4
Fila;6/2/2021 9:48;5
Fila;6/2/2021 9:48;6
Fila;6/2/2021 9:48;7
Fila;6/2/2021 9:48;6
Fila;6/2/2021 9:49;7
Fila;6/2/2021 9:49;6
Fila;6/2/2021 9:49;5
Fila;6/2/2021 9:50;6
Fila;6/2/2021 9:50;7
Fila;6/2/2021 9:50;8
Fila;6/2/2021 9:50;9
Fila;6/2/2021 9:50;8
Fila;6/2/2021 9:51;7
Fila;6/2/2021 9:51;6
Fila;6/2/2021 9:51;5
Fila;6/2/2021 9:52;6
Fila;6/2/2021 9:52;7
Fila;6/2/2021 9:52;8
Fila;6/2/2021 9:52;7
Fila;6/2/2021 9:52;6
Fila;6/2/2021 9:54;5
Fila;6/2/2021 9:54;4
Fila;6/2/2021 9:54;3
Fila;6/2/2021 9:55;4
Fila;6/2/2021 9:55;5
Fila;6/2/2021 9:55;4
Fila;6/2/2021 9:55;3
Fila;6/2/2021 9:56;4
Fila;6/2/2021 9:56;5
Fila;6/2/2021 9:56;6
Fila;6/2/2021 9:56;7
Fila;6/2/2021 9:56;6
Fila;6/2/2021 9:56;5
Fila;6/2/2021 9:56;4
Fila;6/2/2021 9:57;5
Fila;6/2/2021 9:57;4
Fila;6/2/2021 9:57;3
Fila;6/2/2021 9:57;2
Fila;6/2/2021 9:58;3
Fila;6/2/2021 9:58;2
Fila;6/2/2021 9:59;3
Fila;6/2/2021 9:59;2
Fila;6/2/2021 10:00;3
Fila;6/2/2021 10:00;2
Fila;6/2/2021 10:01;3
Fila;6/2/2021 10:01;4
Fila;6/2/2021 10:01;5
Fila;6/2/2021 10:01;4
Fila;6/2/2021 10:02;5
Fila;6/2/2021 10:02;6
Fila;6/2/2021 10:02;5
Fila;6/2/2021 10:02;4
Fila;6/2/2021 10:02;3
Fila;6/2/2021 10:02;2
Fila;6/2/2021 10:02;1
Fila;6/2/2021 10:03;2
Fila;6/2/2021 10:03;3
Fila;6/2/2021 10:03;2
Fila;6/2/2021 10:03;1
Fila;6/2/2021 10:03;0
Fila;6/2/2021 10:04;1
Fila;6/2/2021 10:04;0
Fila;6/2/2021 10:05;1
Fila;6/2/2021 10:05;0
Fila;6/2/2021 10:06;1
Fila;6/2/2021 10:06;0
Fila;6/2/2021 10:08;1
Fila;6/2/2021 10:08;0
Fila;6/2/2021 10:08;1
Fila;6/2/2021 10:08;2
Fila;6/2/2021 10:08;3
Fila;6/2/2021 10:08;4
Fila;6/2/2021 10:08;3
